Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@danielkinsella,"11,000 ",641 ,264 ,4.95,https://www.eliteheatstore.com,https://www.depop.com/danielkinsella/
@ocjosh,"1,210 ",622 ,256 ,5,https://instagram.com/ocjoshshop,https://www.depop.com/ocjosh/
@mattarchive,"6,157 ",621 ,273 ,4.95,https://www.instagram.com/24s.mm/,https://www.depop.com/mattarchive/
@jayne040784,"3,170 ",601 ,340 ,5,,https://www.depop.com/jayne040784/
@emmarhodes,823 ,587,286 ,5,,https://www.depop.com/emmarhodes/
@maxamydus,"11,000 ",573 ,466 ,5,http://www.max-merch.com,https://www.depop.com/maxamydus/
@oldskool_gear,"10,200 ",543 ,378 ,4.95,https://instagram.com/oldskool_gear?utm_medium=copy_link,https://www.depop.com/oldskool_gear/
@payne1968,346 ,539,132 ,5,,https://www.depop.com/payne1968/
@mrreef,"5,706 ",533 ,240 ,4.6,,https://www.depop.com/mrreef/
@totalespasmodic,884 ,523,266 ,5,https://instagram.com/sambunting1988,https://www.depop.com/totalespasmodic/
@satiricalhaz,"9,595 ",521 ,361 ,4.75,,https://www.depop.com/satiricalhaz/
@jhkicks_,"7,089 ",519 ,262 ,5,https://instagram.com/jhkicks_mcr,https://www.depop.com/jhkicks_/
@ofoulger,363 ,512,218 ,5,,https://www.depop.com/ofoulger/
@kicksklothes,"10,300 ",504 ,228 ,4.95,https://Instagram.com/kicks.klothes,https://www.depop.com/kicksklothes/
@jst0ck,"6,655 ",499 ,361 ,5,,https://www.depop.com/jst0ck/
@hashtagvintageclothing,"12,300 ",493 ,168 ,5,https://www.hashtagvintageclothing.com,https://www.depop.com/hashtagvintageclothing/
@jordanabai,"15,100 ",487 ,275 ,4.9,https://www.instagram.com/jordzbai/?hl=en,https://www.depop.com/jordanabai/
@kandaina,"8,910 ",485 ,270 ,5,http://instagram.com/elocyror,https://www.depop.com/kandaina/
@aircollective,"1,078 ",478 ,209 ,4.95,,https://www.depop.com/aircollective/
@adamjbairstow,563 ,470,299 ,4.95,http://instagram.com/adam_bairstow/,https://www.depop.com/adamjbairstow/
@kicksonfire_1129,769 ,460,225 ,5,https://instagram.com/kicks_my_ass_store,https://www.depop.com/kicksonfire_1129/
@ltd_finds,"10,600 ",444 ,184 ,5,,https://www.depop.com/ltd_finds/
@goodgirlriri,"1,714 ",433 ,258 ,5,,https://www.depop.com/goodgirlriri/
@mrsbing,"3,759 ",432 ,306 ,5,,https://www.depop.com/mrsbing/
@stevejamesmenswear,"3,073 ",418 ,410 ,5,http://www.Instagram.com/SteveJamesMenswear_,https://www.depop.com/stevejamesmenswear/
@magikbrandz,348 ,408,222 ,5,,https://www.depop.com/magikbrandz/
@suppliedby,742 ,398,205 ,4.75,https://instagram.com/suppliedby4,https://www.depop.com/suppliedby/
@theclobastore,"9,867 ",380 ,204 ,5,,https://www.depop.com/theclobastore/
@archive45,621 ,379,105 ,4.95,https://www.instagram.com/joebulllough/,https://www.depop.com/archive45/
@deetzarchive,"3,378 ",378 ,163 ,4.8,https://instagram.com/deetz.archive,https://www.depop.com/deetzarchive/
